Machine_Type,pressure,Temperature,Vibration,Machineruntime,Date,Component,Maintenancetype,Actiontaken,Failure type,Downtime (hrs)
Mill,14.8778,40.88538375,760.9062,11,27-01-2024,Bearing,Preventive,Checked,Overheating,7.5
Lathe,21.9796,20.03748296,658.4365,19,31-07-2024,Coupling,Corrective,Refilled,No Failure,6.8
Lathe,11.942,58.47853189,664.1481,12,24-10-2023,Bearing,Preventive,Lubricated,No Failure,8.2
Mill,23.7436,23.8711366,524.6107,7,27-12-2024,Gearbox,Corrective,Cleaned,Overheating,4.6
Mill,62.5758,52.94953732,970.0758,19,21-08-2023,Bearing,Preventive,Flushed,Misalignment,2.6
Drill,63.8194,57.47332781,987.6594,11,05-05-2024,Shaft,Corrective,Cleaned,Bearing failure,5.8
Drill,92.5866,62.78002808,633.4318,15,01-10-2023,Coupling,Corrective,Cleaned,No Failure,4.1
Mill,49.5643,75.54032672,862.4634,9,27-05-2023,Lubrication,Preventive,Flushed,Overheating,3.9
Drill,26.1264,70.11025353,708.381,9,09-04-2024,Motor,Corrective,Inspected,No Failure,8.4
Mill,96.6604,24.33424265,545.2487,8,29-02-2024,Motor,Preventive,Repaired,Overheating,6.8
Drill,55.4042,36.10087236,580.1914,19,24-06-2024,Coupling,Predictive,Aligned,Wear and tear,4.5
Lathe,85.3651,91.41558762,995.7128,13,08-01-2024,Lubrication,Corrective,Inspected,Wear and tear,8.5
Lathe,88.8393,75.34641656,701.6722,9,04-09-2024,Gearbox,Predictive,Cleaned,Leakage,4.9
Mill,24.2202,75.35922244,957.7477,13,25-07-2023,Gearbox,Preventive,Checked,No Failure,8.4
Mill,58.6052,98.43376095,984.9955,10,24-05-2024,Shaft,Preventive,Refilled,Leakage,8.1
Drill,34.3788,59.0362547,956.9364,8,12-07-2023,Bearing,Predictive,Refilled,Overheating,0.3
Mill,29.7797,25.94609655,746.0374,12,13-09-2024,Bearing,Predictive,Inspected,Overheating,6.9
Mill,79.6919,38.57595865,880.6308,7,19-07-2023,Shaft,Predictive,Refilled,No Failure,5.5
Drill,61.042,31.10007983,677.9104,7,08-02-2023,Lubrication,Corrective,Refilled,Overheating,2.6
Mill,15.5939,23.43124523,906.4036,8,09-04-2024,Coupling,Corrective,Inspected,No Failure,8.6
Lathe,70.6189,64.37832412,555.4404,12,06-04-2023,Coupling,Preventive,Repaired,Overheating,5.8
Mill,69.2911,12.25945172,823.592,9,10-01-2023,Bearing,Corrective,Cleaned,No Failure,4.7
Mill,32.1828,13.93825751,556.6169,6,07-10-2024,Motor,Predictive,Replaced,Leakage,8
Lathe,58.4546,45.18538202,820.5038,11,07-04-2023,Bearing,Corrective,Inspected,Leakage,7.8
Drill,60.7215,12.84278918,992.6368,11,25-04-2024,Coupling,Preventive,Lubricated,Leakage,3.9
Lathe,59.0591,62.61169876,995.2329,18,25-11-2024,Shaft,Predictive,Inspected,Leakage,6
Drill,42.8137,14.96572364,804.8514,11,03-11-2023,Coupling,Preventive,Repaired,Bearing failure,2.4
Drill,72.0898,18.63944303,579.7865,10,10-10-2023,Lubrication,Preventive,Refilled,Leakage,1.3
Drill,86.2986,89.13051735,782.1582,6,02-03-2023,Lubrication,Corrective,Inspected,No Failure,7
Mill,25.8281,77.61734015,987.3477,10,24-12-2023,Gearbox,Corrective,Checked,Wear and tear,4.8
Mill,94.7072,76.31694985,828.6774,9,28-10-2024,Bearing,Predictive,Repaired,Bearing failure,8
Drill,92.5673,14.74425769,910.1865,19,09-02-2024,Bearing,Preventive,Cleaned,Wear and tear,8.4
Drill,63.7524,86.67746133,739.9211,11,07-03-2024,Gearbox,Preventive,Flushed,Wear and tear,4.9
Mill,98.0921,57.7989259,868.5845,13,31-10-2023,Gearbox,Corrective,Checked,Bearing failure,1.1
Mill,26.6433,17.45759714,607.4415,15,28-12-2024,Shaft,Preventive,Checked,No Failure,5.5
Mill,12.0493,65.16821506,544.8015,7,14-01-2024,Lubrication,Corrective,Cleaned,Overheating,2.3
Drill,35.0963,37.93538144,892.7825,15,10-12-2023,Bearing,Predictive,Tightened,No Failure,7.8
Lathe,65.6905,87.26118478,629.9924,10,25-06-2023,Shaft,Corrective,Inspected,No Failure,0.8
Drill,39.2628,56.36483395,508.4564,15,18-01-2023,Shaft,Predictive,Flushed,Bearing failure,8.7
Mill,54.6994,86.39140477,991.4081,8,11-10-2024,Coupling,Corrective,Checked,Wear and tear,6
Mill,50.1632,73.6997904,766.0811,6,13-12-2024,Motor,Predictive,Checked,No Failure,5.9
Lathe,93.2668,11.71762009,873.7276,10,10-05-2023,Gearbox,Predictive,Lubricated,Bearing failure,8.1
Lathe,27.216,39.14389718,723.9463,16,17-08-2023,Motor,Preventive,Tightened,Leakage,3.8
Drill,93.0887,31.70238722,777.2221,15,22-05-2024,Bearing,Corrective,Inspected,No Failure,7.7
Drill,34.9366,79.87328598,858.45,17,24-08-2024,Gearbox,Preventive,Lubricated,Wear and tear,7.4
Mill,96.3212,97.1375474,800.4437,6,15-02-2023,Coupling,Preventive,Flushed,Misalignment,8.5
Drill,54.6606,53.66762742,886.9631,12,19-11-2024,Motor,Preventive,Checked,Bearing failure,0.2
Drill,32.1298,86.49976592,501.6539,18,02-01-2024,Shaft,Preventive,Inspected,Bearing failure,3.1
Drill,53.9576,48.25848535,742.5472,14,20-02-2023,Lubrication,Predictive,Checked,Bearing failure,7.8
Mill,47.8702,98.58120053,524.3265,8,05-11-2023,Shaft,Corrective,Replaced,Overheating,4
Lathe,20.2106,41.32824663,762.7947,8,05-08-2024,Motor,Preventive,Aligned,Wear and tear,5.5
Lathe,18.2256,16.20830294,864.3842,7,26-02-2024,Gearbox,Corrective,Replaced,No Failure,2.8
Lathe,35.2238,16.2037476,976.0506,8,10-09-2023,Coupling,Predictive,Lubricated,Leakage,0.8
Mill,83.1423,34.82948135,717.169,14,16-02-2024,Gearbox,Predictive,Tightened,Bearing failure,7.2
Lathe,46.2447,92.48279242,600.4866,9,20-01-2024,Bearing,Corrective,Lubricated,Bearing failure,6.6
Mill,62.1377,20.46372475,662.3729,6,30-11-2024,Gearbox,Corrective,Refilled,No Failure,8.5
Drill,81.8461,18.9636917,657.6905,19,02-06-2023,Motor,Preventive,Tightened,Wear and tear,7.4
Drill,34.2507,19.3245608,705.0277,6,15-04-2023,Shaft,Predictive,Tightened,No Failure,3.3
Drill,74.5098,25.8612969,846.5882,6,25-03-2023,Bearing,Predictive,Lubricated,Wear and tear,3.1
Drill,52.9699,41.92643093,518.3785,13,08-04-2024,Shaft,Predictive,Flushed,Leakage,4
Mill,79.5916,72.023163,889.101,6,18-11-2023,Gearbox,Preventive,Tightened,No Failure,6.2
Drill,59.7909,55.28409287,808.0044,11,23-08-2023,Lubrication,Corrective,Inspected,Overheating,1.8
Drill,25.9188,94.307041,601.3302,18,17-02-2023,Shaft,Corrective,Refilled,Overheating,2.3
Mill,48.0525,16.92600945,526.7249,15,05-02-2024,Gearbox,Corrective,Flushed,Leakage,2.5
Drill,83.8477,11.55696319,524.401,9,07-08-2024,Gearbox,Preventive,Repaired,Wear and tear,5
Mill,14.4305,38.41568891,543.9663,10,26-11-2023,Lubrication,Preventive,Refilled,No Failure,1.6
Mill,53.947,25.91065756,936.7071,6,10-06-2023,Motor,Corrective,Cleaned,No Failure,3.6
Mill,59.7034,20.94462335,822.7791,6,18-06-2023,Gearbox,Preventive,Cleaned,No Failure,2.3
Lathe,32.7557,54.14735621,609.2027,9,12-03-2023,Bearing,Corrective,Tightened,No Failure,6.2
Mill,75.1743,44.9324247,809.3904,16,16-06-2024,Gearbox,Corrective,Inspected,Misalignment,8.7
Drill,24.0413,11.91140412,615.067,7,07-02-2023,Shaft,Corrective,Flushed,No Failure,0.1
Drill,23.4914,31.68101961,730.0277,13,19-07-2024,Coupling,Preventive,Checked,No Failure,4
Drill,55.5406,86.92919092,943.1962,9,18-02-2023,Lubrication,Predictive,Cleaned,No Failure,0.6
Drill,72.8123,35.35893297,674.4382,9,04-03-2024,Motor,Predictive,Flushed,No Failure,7.6
Mill,63.0785,12.42421789,690.0468,8,28-08-2023,Bearing,Preventive,Cleaned,No Failure,4.5
Mill,26.4631,11.81563376,667.2645,7,27-04-2024,Shaft,Predictive,Aligned,Bearing failure,6.4
Drill,74.3649,61.06047738,766.9034,16,25-04-2023,Shaft,Corrective,Checked,Leakage,6.9
Mill,51.2303,27.15350905,840.4214,12,21-09-2024,Shaft,Predictive,Lubricated,Misalignment,0.9
Lathe,21.0239,29.79337519,631.8107,19,15-04-2023,Coupling,Preventive,Checked,Overheating,4.4
Drill,50.1181,81.51789116,993.6005,11,22-03-2024,Coupling,Predictive,Repaired,Overheating,4.7
Drill,56.9234,30.82296871,805.5829,18,24-03-2023,Coupling,Predictive,Checked,Leakage,3.2
Lathe,66.8111,70.50165307,515.2735,13,23-03-2023,Lubrication,Predictive,Flushed,Bearing failure,0.1
Mill,54.8632,56.82372606,881.2579,6,19-07-2023,Motor,Corrective,Inspected,No Failure,0
Lathe,17.1041,97.8391374,678.9306,11,09-08-2024,Lubrication,Preventive,Repaired,No Failure,7.4
Drill,20.4493,30.6154646,817.0455,9,19-03-2024,Gearbox,Preventive,Lubricated,Bearing failure,8
Mill,56.5123,20.80571006,630.0635,8,26-07-2024,Gearbox,Predictive,Replaced,No Failure,5.4
Mill,80.1373,83.76543242,867.3497,15,29-12-2023,Motor,Predictive,Checked,Leakage,0.7
Drill,42.9432,16.75332877,892.3818,10,29-07-2024,Bearing,Preventive,Flushed,No Failure,7.2
Mill,64.1147,10.62745108,873.8731,19,18-09-2024,Gearbox,Preventive,Refilled,No Failure,5.6
Mill,82.5178,84.38256742,927.1475,15,08-01-2024,Shaft,Predictive,Replaced,No Failure,6.3
Lathe,18.0078,60.55712717,580.7081,17,09-01-2024,Gearbox,Predictive,Tightened,Misalignment,5.8
Mill,98.6248,60.75364619,847.8744,10,07-05-2024,Coupling,Predictive,Refilled,No Failure,4.4
Lathe,25.4169,94.10351929,821.8245,10,04-05-2023,Bearing,Corrective,Refilled,Misalignment,7.2
Lathe,46.5739,67.97491231,580.2803,17,18-07-2024,Coupling,Corrective,Replaced,No Failure,8.1
Mill,62.082,48.33445697,885.6787,11,24-09-2024,Bearing,Predictive,Replaced,No Failure,2.9
Drill,20.2275,86.95003487,574.5731,10,14-09-2023,Motor,Preventive,Inspected,Wear and tear,5.8
Mill,52.7277,95.81578934,663.8005,18,02-05-2024,Motor,Predictive,Lubricated,No Failure,2.8
Lathe,28.546,20.54889985,547.7802,19,06-10-2024,Gearbox,Corrective,Checked,Wear and tear,2.8
Drill,28.5395,13.34908405,605.2131,6,10-04-2023,Shaft,Corrective,Checked,No Failure,9
Lathe,32.9897,68.50982456,786.1304,18,05-06-2023,Motor,Predictive,Repaired,Bearing failure,8.1
Drill,86.1606,61.97039089,892.3168,9,02-10-2023,Coupling,Preventive,Checked,Wear and tear,6
Mill,44.5255,17.33520535,899.9062,17,16-12-2023,Coupling,Corrective,Replaced,Overheating,8.7
Drill,58.5055,43.63610173,647.5156,17,30-11-2024,Shaft,Preventive,Repaired,Wear and tear,5.6
Lathe,93.9431,23.05848184,935.4914,13,26-08-2023,Lubrication,Predictive,Replaced,Bearing failure,3.6
Mill,54.8931,24.273902,653.117,13,24-04-2024,Coupling,Predictive,Lubricated,Bearing failure,7.5
Drill,76.628,92.18276608,544.6828,6,02-03-2024,Bearing,Corrective,Repaired,Wear and tear,8.3
Drill,85.4356,98.7363393,766.4713,18,25-11-2024,Gearbox,Preventive,Repaired,Overheating,1.5
Mill,55.9407,96.03556608,548.3411,6,25-12-2024,Motor,Predictive,Inspected,Misalignment,4.1
Drill,74.0576,22.23056096,512.6485,14,13-05-2024,Coupling,Corrective,Cleaned,Wear and tear,4.4
Drill,33.1775,42.48988725,861.087,13,18-08-2023,Coupling,Preventive,Refilled,No Failure,0.8
Mill,62.6039,74.22422778,585.6988,17,28-06-2023,Coupling,Corrective,Lubricated,No Failure,7.7
Lathe,30.059,80.9329413,575.3527,16,17-04-2023,Coupling,Preventive,Refilled,Misalignment,6.1
Drill,40.6354,35.34036337,690.5198,10,10-11-2024,Shaft,Predictive,Flushed,Misalignment,8.9
Mill,21.4493,41.759157,530.6174,18,13-12-2023,Lubrication,Predictive,Lubricated,Wear and tear,0.2
Lathe,11.6651,71.49841879,566.0776,8,04-04-2023,Shaft,Predictive,Replaced,No Failure,5.4
Drill,94.9477,25.76496893,919.0326,18,17-06-2024,Bearing,Corrective,Checked,No Failure,8.1
Drill,27.0755,28.58311642,548.634,17,22-07-2023,Coupling,Predictive,Aligned,Bearing failure,1.1
Drill,38.3756,19.18422391,710.4307,16,23-08-2023,Gearbox,Predictive,Repaired,No Failure,0.8
Drill,77.2688,89.57552857,513.4009,7,25-04-2024,Gearbox,Predictive,Replaced,No Failure,1.2
Lathe,37.7246,84.74607647,815.4021,17,30-04-2023,Coupling,Corrective,Lubricated,Leakage,3.8
Mill,97.5206,60.20500703,888.3798,17,17-05-2023,Gearbox,Corrective,Flushed,Misalignment,2
Lathe,12.2981,46.59029344,814.6268,6,02-08-2024,Lubrication,Preventive,Refilled,Wear and tear,1
Drill,71.7772,50.14843174,693.1788,16,22-02-2024,Lubrication,Corrective,Cleaned,Overheating,6.7
Lathe,23.1087,85.91087771,535.2131,12,18-12-2023,Gearbox,Predictive,Tightened,Overheating,3.3
Mill,88.7512,73.15135905,549.4055,9,31-03-2024,Shaft,Predictive,Tightened,Bearing failure,6.3
Mill,19.9194,42.81891153,561.0156,17,07-12-2024,Shaft,Preventive,Checked,Overheating,3.1
Lathe,58.6904,25.83140126,545.367,19,05-08-2024,Gearbox,Corrective,Lubricated,Misalignment,2.8
Drill,18.4771,25.10114997,831.2386,6,17-11-2023,Bearing,Preventive,Refilled,Wear and tear,6.6
Mill,11.0398,46.50654431,891.8503,10,18-02-2024,Gearbox,Preventive,Checked,Leakage,4.6
Drill,48.1946,40.68326937,940.164,18,29-05-2023,Motor,Predictive,Flushed,No Failure,7.3
Lathe,19.3245,33.96044174,568.3788,10,04-02-2023,Gearbox,Predictive,Flushed,Leakage,1.5
Mill,63.9032,92.22331208,556.3222,7,16-01-2023,Shaft,Preventive,Repaired,No Failure,5.4
Drill,27.4777,50.93441039,861.1037,8,30-10-2024,Motor,Predictive,Repaired,Wear and tear,0.6
Drill,35.24,49.40364612,892.9493,15,11-10-2024,Gearbox,Corrective,Replaced,Misalignment,4.2
Mill,66.6142,13.42520777,813.8991,6,31-12-2023,Bearing,Predictive,Aligned,No Failure,0.8
Lathe,24.4129,60.62285653,714.0746,14,28-01-2023,Bearing,Corrective,Lubricated,No Failure,1.4
Drill,39.0063,29.33722577,900.1762,15,10-07-2023,Lubrication,Predictive,Flushed,Wear and tear,6.1
Drill,32.1734,50.98616945,612.6676,16,11-01-2024,Gearbox,Preventive,Replaced,Wear and tear,1.9
Drill,78.3373,29.12900727,718.6106,18,01-10-2023,Bearing,Preventive,Inspected,Leakage,5.8
Drill,86.3418,81.91008786,771.5778,16,25-11-2023,Gearbox,Predictive,Refilled,Wear and tear,8.7
Lathe,67.0411,90.63847732,658.2432,17,09-02-2023,Gearbox,Corrective,Lubricated,No Failure,5.9
Lathe,43.3433,83.48243754,605.7595,10,31-12-2023,Motor,Preventive,Refilled,Wear and tear,6.3
Mill,96.8628,44.08053571,755.9142,18,13-04-2023,Coupling,Corrective,Refilled,Misalignment,4.1
Lathe,39.6693,74.28562416,585.4601,7,25-07-2024,Bearing,Predictive,Refilled,Leakage,1.5
Mill,33.9954,18.33058004,929.9347,17,14-02-2023,Motor,Corrective,Refilled,Bearing failure,2.1
Drill,12.7147,85.73543237,513.1633,17,18-10-2023,Shaft,Corrective,Tightened,Leakage,5.2
Mill,88.4096,27.19637825,899.861,18,26-06-2024,Shaft,Corrective,Lubricated,Overheating,1.6
Drill,28.628,93.00478562,545.6028,14,25-01-2023,Gearbox,Preventive,Refilled,Bearing failure,1.3
Drill,11.8331,96.76497208,721.8211,14,04-06-2023,Shaft,Preventive,Replaced,Misalignment,3.4
Drill,16.454,37.74432349,548.3439,18,13-09-2023,Gearbox,Corrective,Flushed,No Failure,5.3
Lathe,45.397,79.21768485,734.9163,10,25-06-2024,Shaft,Corrective,Replaced,Misalignment,2.6
Lathe,83.2923,72.67321814,741.185,10,30-03-2023,Shaft,Corrective,Lubricated,Leakage,0.8
Mill,67.5728,41.40102335,791.5218,8,20-05-2024,Bearing,Predictive,Aligned,No Failure,1.2
Lathe,29.3332,45.48450914,948.5651,12,11-12-2023,Gearbox,Corrective,Aligned,Wear and tear,4.4
Drill,17.2333,32.31269232,692.2852,14,03-12-2024,Motor,Predictive,Refilled,Bearing failure,2.6
Mill,92.7431,39.67021328,763.7761,12,21-11-2023,Bearing,Preventive,Tightened,Wear and tear,0.8
Drill,25.3333,51.34490133,640.8535,14,21-01-2023,Gearbox,Preventive,Lubricated,Bearing failure,5.3
Drill,33.6384,37.49609895,790.4118,16,20-03-2023,Lubrication,Preventive,Aligned,Wear and tear,1.6
Mill,10.6349,24.54241625,687.9527,9,29-05-2023,Coupling,Predictive,Cleaned,Misalignment,8.1
Drill,26.3712,22.25902393,591.55,9,02-09-2024,Shaft,Predictive,Lubricated,Bearing failure,3.9
Mill,60.796,90.1703732,858.3055,16,28-05-2024,Motor,Predictive,Cleaned,Leakage,4.3
Lathe,61.5631,85.72794505,989.1101,9,13-06-2024,Motor,Corrective,Lubricated,No Failure,1
Lathe,59.0841,10.70254678,894.6216,14,16-03-2024,Shaft,Preventive,Inspected,No Failure,1.2
Lathe,21.7246,31.8821668,634.7785,17,05-07-2023,Motor,Preventive,Flushed,Wear and tear,0.8
Mill,58.5268,53.16794598,969.2368,9,14-10-2023,Gearbox,Corrective,Inspected,No Failure,0.1
Drill,46.4021,87.01842202,873.4828,15,03-12-2023,Shaft,Corrective,Repaired,Overheating,3.3
Lathe,77.9646,74.35522306,616.2592,7,19-12-2023,Lubrication,Corrective,Flushed,Leakage,1.7
Mill,61.2523,67.99377389,798.3387,19,19-06-2024,Gearbox,Preventive,Tightened,Misalignment,3.3
Mill,11.9637,32.69463385,643.3118,13,22-06-2023,Motor,Corrective,Replaced,Overheating,5.2
Lathe,77.5466,74.31758453,703.9842,14,27-11-2023,Lubrication,Preventive,Lubricated,Bearing failure,4.2
Mill,88.3137,11.24720202,798.0796,11,09-08-2023,Lubrication,Preventive,Aligned,No Failure,8.3
Mill,19.4263,22.43026309,737.381,15,10-06-2023,Coupling,Corrective,Aligned,Wear and tear,3.5
Mill,84.429,62.68659524,785.6416,6,12-06-2024,Shaft,Preventive,Checked,No Failure,3
Mill,41.3721,21.77100064,535.2761,6,28-02-2023,Motor,Predictive,Inspected,Bearing failure,1.5
Mill,74.1845,30.63460662,994.7443,17,24-02-2024,Shaft,Corrective,Tightened,Misalignment,6.2
Mill,45.5158,77.04453462,683.8241,8,28-09-2023,Motor,Corrective,Tightened,Overheating,6.3
Mill,86.9076,73.23696453,929.4731,17,25-01-2023,Bearing,Corrective,Lubricated,Misalignment,2.5
Lathe,60.3236,58.13966386,797.8717,17,11-02-2024,Shaft,Predictive,Flushed,No Failure,7.4
Mill,15.9408,15.8282826,551.4526,17,04-03-2024,Coupling,Predictive,Inspected,No Failure,2
Drill,73.7436,66.50498558,677.603,8,11-11-2024,Coupling,Corrective,Checked,No Failure,1.1
Lathe,49.699,14.107777,648.0625,8,18-06-2023,Coupling,Preventive,Inspected,Misalignment,7.5
Drill,84.2141,84.3838979,518.2007,9,20-12-2024,Lubrication,Predictive,Refilled,Wear and tear,8.9
Drill,42.2772,62.83093598,836.2424,19,19-03-2023,Motor,Predictive,Repaired,Wear and tear,8
Mill,86.1685,62.2717721,672.6796,8,17-08-2024,Lubrication,Predictive,Tightened,Leakage,7.2
Mill,19.8573,59.81413915,988.6084,10,19-01-2023,Motor,Preventive,Inspected,Misalignment,6.8
Lathe,13.2996,63.68827227,811.5576,19,29-09-2023,Bearing,Preventive,Lubricated,Wear and tear,2.5
Drill,24.2684,60.57638792,769.1488,13,09-04-2023,Gearbox,Preventive,Checked,No Failure,2.3
Mill,79.3214,71.05311445,713.5659,19,29-03-2024,Coupling,Corrective,Aligned,Misalignment,4.5
Lathe,23.8948,95.06804225,814.8904,13,05-10-2023,Bearing,Preventive,Inspected,Bearing failure,4.2
Lathe,96.2572,38.83671271,908.6159,6,25-08-2023,Coupling,Corrective,Flushed,Leakage,1.8
Mill,57.797,62.30902123,659.6252,16,30-01-2024,Gearbox,Preventive,Inspected,No Failure,5.8
Lathe,96.6378,34.31218153,679.5198,16,25-03-2023,Motor,Preventive,Refilled,No Failure,4.9
Mill,85.3271,33.98812223,527.3547,8,16-03-2023,Gearbox,Predictive,Checked,No Failure,4.3
Lathe,75.8545,45.4417937,507.4881,11,17-06-2024,Coupling,Preventive,Tightened,Misalignment,0.8
Mill,20.0976,68.18549431,672.4263,8,16-06-2024,Shaft,Predictive,Aligned,Overheating,4.5
Lathe,72.6914,19.06103849,880.8948,8,04-04-2023,Gearbox,Corrective,Checked,No Failure,7
Mill,39.241,75.6826615,784.5565,16,14-02-2023,Shaft,Predictive,Lubricated,Leakage,0.5
Drill,77.6225,20.98035179,849.7588,16,05-01-2023,Motor,Corrective,Inspected,Wear and tear,5.5
Mill,66.8549,55.88859633,879.7282,8,02-09-2023,Motor,Corrective,Checked,Bearing failure,6.4
Mill,32.4875,33.45879078,790.7874,19,16-03-2024,Motor,Preventive,Checked,No Failure,2.5
Lathe,51.8896,79.82749875,802.5474,15,18-01-2023,Coupling,Preventive,Flushed,Overheating,4.2
Mill,37.3793,21.57599126,930.3866,11,10-09-2023,Motor,Preventive,Flushed,No Failure,2
Mill,32.8267,51.15215567,872.2039,12,12-06-2024,Gearbox,Corrective,Repaired,Leakage,0.3
Mill,98.5411,95.90683569,683.2025,18,27-01-2024,Lubrication,Preventive,Lubricated,Wear and tear,7.2
Lathe,84.2833,71.03363549,500.3919,11,22-10-2024,Shaft,Preventive,Replaced,Misalignment,6.5
Mill,18.5075,45.01154684,952.8285,6,23-06-2023,Lubrication,Corrective,Aligned,No Failure,8
Drill,77.5706,66.75601119,930.9099,6,26-11-2023,Bearing,Predictive,Replaced,Misalignment,0.2
Drill,93.0756,70.15360709,794.7851,17,03-03-2024,Gearbox,Corrective,Tightened,No Failure,7.4
Lathe,58.5413,24.89201805,722.493,14,17-04-2024,Gearbox,Predictive,Flushed,Misalignment,1.3
Mill,47.4763,89.59402163,669.5732,18,28-10-2023,Coupling,Corrective,Inspected,Bearing failure,1.1
Lathe,65.8943,87.28871935,527.9852,18,15-03-2024,Lubrication,Corrective,Lubricated,Overheating,7.2
Drill,83.4435,64.10393761,741.2621,6,14-12-2023,Coupling,Corrective,Repaired,Misalignment,7.4
Lathe,85.6128,76.00026791,753.5873,13,21-01-2024,Motor,Predictive,Repaired,No Failure,4.5
Lathe,94.7794,76.5614355,891.8798,15,09-04-2023,Motor,Preventive,Aligned,Misalignment,2.1
Mill,79.9934,88.43924417,587.0402,11,20-03-2023,Shaft,Corrective,Tightened,Bearing failure,1.7
Lathe,39.6891,24.10145779,853.6768,7,15-12-2023,Coupling,Preventive,Replaced,Leakage,6.4
Mill,33.3568,83.68903963,671.4717,6,09-02-2024,Bearing,Preventive,Flushed,No Failure,1.7
Drill,55.0759,45.44472153,707.5085,18,13-03-2023,Shaft,Preventive,Repaired,Misalignment,5.9
Lathe,61.5442,92.05290469,714.9158,9,24-03-2024,Motor,Corrective,Checked,Wear and tear,1.6
Lathe,71.1337,48.67962256,909.0689,8,28-06-2023,Lubrication,Predictive,Flushed,Misalignment,4.8
Mill,55.182,97.58483231,983.119,6,31-10-2024,Shaft,Corrective,Repaired,Misalignment,8.5
Mill,37.744,68.20218468,938.3344,16,09-02-2023,Lubrication,Preventive,Cleaned,Overheating,1.6
Mill,87.1796,45.11738005,638.1279,12,22-10-2024,Shaft,Predictive,Checked,No Failure,1.7
Drill,64.5149,59.38137314,558.3324,17,23-05-2023,Shaft,Predictive,Flushed,No Failure,8.8
Mill,21.0311,93.31932203,706.2477,10,17-04-2024,Gearbox,Preventive,Cleaned,Bearing failure,6.1
Mill,34.0787,50.56257155,695.2333,16,30-01-2023,Coupling,Predictive,Repaired,Leakage,4.9
Drill,26.2577,90.95056396,785.3746,8,14-12-2023,Coupling,Preventive,Repaired,No Failure,0.9
Drill,57.2797,19.00367688,677.9268,13,27-09-2023,Gearbox,Preventive,Aligned,Bearing failure,1.5
Mill,85.1992,92.22178243,770.4172,17,06-01-2024,Shaft,Corrective,Refilled,No Failure,5.3
Mill,77.0825,79.40509854,539.0698,13,27-11-2024,Coupling,Corrective,Checked,Misalignment,2.2
Lathe,25.905,56.06959364,760.4615,7,03-07-2024,Motor,Corrective,Tightened,Bearing failure,5
Lathe,95.5703,44.74684854,500.0273,8,09-06-2023,Gearbox,Corrective,Lubricated,Overheating,4.7
Lathe,24.4126,14.78468743,940.27,9,26-02-2024,Shaft,Predictive,Repaired,Overheating,5.7
Drill,55.4927,63.16048938,988.5146,18,07-10-2024,Motor,Corrective,Repaired,Bearing failure,7.1
Drill,69.8541,40.37074457,958.7909,17,17-03-2024,Gearbox,Preventive,Inspected,Misalignment,7.5
Lathe,37.0915,83.3739119,716.217,10,29-07-2024,Lubrication,Predictive,Replaced,Misalignment,6.7
Drill,32.7746,15.29669255,899.1532,16,27-04-2024,Lubrication,Preventive,Lubricated,Overheating,3.3
Lathe,50.1489,66.04429399,865.5385,15,27-11-2023,Bearing,Predictive,Lubricated,No Failure,2.2
Lathe,47.9458,88.21197954,932.3825,15,11-09-2024,Shaft,Preventive,Refilled,Misalignment,2.6
Mill,51.676,85.86774848,927.547,8,15-12-2024,Bearing,Preventive,Flushed,Leakage,1.1
Drill,57.1845,88.2142912,920.2527,11,25-12-2024,Gearbox,Predictive,Lubricated,No Failure,8.2
Mill,74.5375,12.2425081,903.1635,9,28-03-2024,Lubrication,Predictive,Aligned,Leakage,5
Lathe,92.6002,91.91323009,836.6659,9,13-07-2023,Lubrication,Corrective,Refilled,Misalignment,1.6
Mill,74.2884,31.56362508,548.8499,10,03-10-2024,Coupling,Preventive,Checked,Wear and tear,3.4
Drill,43.7986,38.45771861,533.5807,18,12-05-2024,Shaft,Predictive,Cleaned,Overheating,4.2
Lathe,65.1021,81.18295598,827.2188,11,08-06-2024,Gearbox,Corrective,Replaced,No Failure,8.9
Mill,71.8501,26.71103558,666.9468,7,28-01-2024,Coupling,Predictive,Tightened,Overheating,5.2
Mill,35.8076,50.80417681,884.7933,8,26-07-2024,Gearbox,Corrective,Flushed,Misalignment,0.9
Lathe,95.3429,46.5151614,838.2271,14,07-02-2024,Coupling,Corrective,Lubricated,Leakage,7.3
Drill,40.351,40.01655764,944.1101,12,21-09-2023,Gearbox,Predictive,Cleaned,Bearing failure,0.7
Drill,26.302,58.92898083,564.3635,10,24-03-2024,Motor,Corrective,Lubricated,No Failure,5.1
Mill,84.4728,44.72374933,648.1963,6,28-04-2023,Gearbox,Preventive,Aligned,Leakage,5.5
Lathe,56.5344,39.26603504,757.0426,10,29-02-2024,Shaft,Predictive,Tightened,No Failure,8.7
Mill,19.6101,63.24244913,533.4771,8,16-05-2024,Coupling,Predictive,Replaced,Bearing failure,7.6
Lathe,85.516,47.12066777,628.4462,11,18-01-2024,Motor,Preventive,Replaced,Overheating,7.5
Drill,76.2199,39.37175761,920.0714,12,22-12-2024,Shaft,Predictive,Inspected,Leakage,8.5
Mill,17.9629,51.31244151,824.6759,8,23-06-2023,Lubrication,Predictive,Refilled,No Failure,7.8
Lathe,68.9105,32.32374341,600.7046,16,20-12-2023,Coupling,Predictive,Tightened,Leakage,7.9
